nr,greek_transcription,greek_phonetic,en_translation,en_importance_reason,en_audio_url,de_translation,de_importance_reason,de_audio_url,es_translation,es_importance_reason,es_audio_url,ru_translation,ru_importance_reason,ru_audio_url,level,difficulty,frequency
32,Όνομα,Ó-no-ma,Name,Identification term used in introductions,,Name,Identifikations-Begriff bei Vorstellungen verwendet,,Nombre,Término de identificación usado en presentaciones,,Имя,Термин идентификации используется в представлениях,,A2,easy,5
33,Διεύθυνση,dhi-É-fthin-si,Address,Location information term important for navigation,,Adresse,Standort-Informations-Begriff wichtig für Navigation,,Dirección,Término de información de ubicación importante para navegación,,Адрес,Термин информации о местоположении важный для навигации,,A2,medium,4
34,Τηλέφωνο,ti-LÉ-fo-no,Phone,Contact method term essential for communication,,Telefon,Kontakt-Methoden-Begriff notwendig für Kommunikation,,Teléfono,Término de método de contacto esencial para comunicación,,Телефон,Термин метода связи необходимый для общения,,A2,easy,5
35,Ηλεκτρονικό ταχυδρομείο,i-lek-tro-ni-KÓ ta-chi-dhro-MÍ-o,Email,Digital communication term increasingly important,,E-Mail,Digitale Kommunikations-Begriff zunehmend wichtig,,Correo electrónico,Término de comunicación digital cada vez más importante,,Электронная почта,Термин цифровой связи все более важный,,A2,hard,4
36,Ραντεβού,ra-de-VÚ,Appointment,Scheduled meeting term necessary for planning,,Termin,Geplantes Treffen-Begriff notwendig für Planung,,Cita,Término de reunión programada necesario para planificación,,Встреча,Термин запланированной встречи необходимый для планирования,,A2,medium,4
37,Συνάντηση,si-NÁ-di-si,Meeting,Gathering term important for business,,Besprechung,Zusammenkunfts-Begriff wichtig für Geschäfte,,Reunión,Término de encuentro importante para negocios,,Собрание,Термин встречи важный для бизнеса,,A2,medium,3
38,Καιρός,ke-RÓS,Weather,Atmospheric condition term used in daily talk,,Wetter,Atmosphärische Zustands-Begriff in täglichen Gesprächen verwendet,,Clima,Término de condición atmosférica usado en charlas diarias,,Погода,Термин атмосферного состояния используется в ежедневных разговорах,,A2,easy,5
39,Θερμοκρασία,ther-mo-kra-SÍ-a,Temperature,Heat measurement term relevant for weather,,Temperatur,Wärme-Messungs-Begriff relevant für Wetter,,Temperatura,Término de medición de calor relevante para clima,,Температура,Термин измерения тепла относящийся к погоде,,A2,medium,3
40,Βροχή,vro-CHÍ,Rain,Precipitation term common in weather talk,,Regen,Niederschlags-Begriff häufig in Wetter-Gesprächen,,Lluvia,Término de precipitación común en charlas del clima,,Дождь,Термин осадков обычный в разговорах о погоде,,A2,easy,4
41,Ήλιος,Í-li-os,Sun,Star term essential for discussing weather,,Sonne,Stern-Begriff notwendig zur Wetter-Besprechung,,Sol,Término de estrella esencial para discutir clima,,Солнце,Термин звезды необходимый для обсуждения погоды,,A2,easy,5
42,Άνεμος,Á-ne-mos,Wind,Air movement term used in weather reports,,Wind,Luftbewegungs-Begriff in Wetter-Berichten verwendet,,Viento,Término de movimiento de aire usado en informes meteorológicos,,Ветер,Термин движения воздуха используется в прогнозах погоды,,A2,medium,3
43,Χιόνι,CHI-ó-ni,Snow,Winter precipitation term for cold climates,,Schnee,Winter-Niederschlags-Begriff für kalte Klimazonen,,Nieve,Término de precipitación invernal para climas fríos,,Снег,Термин зимних осадков для холодного климата,,A2,easy,3
44,Θάλασσα,THÁ-la-sa,Sea,Large water body term important for coastal areas,,Meer,Großes Gewässer-Begriff wichtig für Küstengebiete,,Mar,Término de cuerpo de agua grande importante para áreas costeras,,Море,Термин большого водоема важный для прибрежных районов,,A2,easy,4
45,Βουνό,vu-NÓ,Mountain,Elevated land term relevant for geography,,Berg,Erhöhtes Land-Begriff relevant für Geographie,,Montaña,Término de tierra elevada relevante para geografía,,Гора,Термин возвышенности относящийся к географии,,A2,easy,3
46,Ποτάμι,po-TÁ-mi,River,Flowing water term used in geography,,Fluss,Fließendes Wasser-Begriff in Geographie verwendet,,Río,Término de agua fluyente usado en geografía,,Река,Термин текущей воды используется в географии,,A2,medium,3
47,Λίμνη,LÍM-ni,Lake,Inland water body term for nature discussions,,See,Binnen-Gewässer-Begriff für Natur-Diskussionen,,Lago,Término de cuerpo de agua interior para discusiones de naturaleza,,Озеро,Термин внутреннего водоема для обсуждений природы,,A2,medium,2
48,Δάσος,DHÁ-sos,Forest,Tree area term relevant for nature topics,,Wald,Baum-Gebiet-Begriff relevant für Natur-Themen,,Bosque,Término de área de árboles relevante para temas de naturaleza,,Лес,Термин территории деревьев относящийся к темам природы,,A2,medium,3
49,Παραλία,pa-ra-LÍ-a,Beach,Seaside area term popular for tourism,,Strand,Küsten-Gebiet-Begriff beliebt für Tourismus,,Playa,Término de área costera popular para turismo,,Пляж,Термин прибрежной территории популярный для туризма,,A2,easy,4
50,Ξενοδοχείο,kse-no-dho-CHÍ-o,Hotel,Accommodation term essential for travelers,,Hotel,Unterkunfts-Begriff notwendig für Reisende,,Hotel,Término de alojamiento esencial para viajeros,,Отель,Термин размещения необходимый для путешественников,,A2,easy,5
