nr,greek_transcription,greek_phonetic,en_translation,en_importance_reason,en_audio_url,de_translation,de_importance_reason,de_audio_url,es_translation,es_importance_reason,es_audio_url,ru_translation,ru_importance_reason,ru_audio_url,level,difficulty,frequency
22,Οικογένεια,i-ko-yé-nia,Family,Fundamental social concept for relationships,,Familie,Grundlegendes soziales Konzept für Beziehungen,,Familia,Concepto social fundamental para relaciones,,Семья,Фундаментальная социальная концепция для отношений,,A1,easy,5
23,Φίλος,fí-los,Friend,Important relationship word for social interactions,,Freund,Wichtiges Beziehungs-Wort für soziale Interaktionen,,Amigo,Palabra de relación importante para interacciones sociales,,Друг,Важное слово отношений для социальных взаимодействий,,A1,easy,5
24,Άνθρωπος,á-thro-pos,Person,General human being term used frequently,,Mensch,Allgemeiner Begriff für Menschen häufig verwendet,,Persona,Término general de ser humano usado frecuentemente,,Человек,Общий термин человека часто используется,,A1,medium,5
25,Άντρας,á-dras,Man,Gender term necessary for descriptions,,Mann,Geschlechts-Begriff notwendig für Beschreibungen,,Hombre,Término de género necesario para descripciones,,Мужчина,Гендерный термин необходимый для описаний,,A1,easy,4
26,Γυναίκα,yi-NÉ-ka,Woman,Gender term essential for conversations,,Frau,Geschlechts-Begriff wichtig für Gespräche,,Mujer,Término de género esencial para conversaciones,,Женщина,Гендерный термин необходимый для разговоров,,A1,easy,4
27,Παιδί,pe-DHÍ,Child,Age group term used in family contexts,,Kind,Altersgruppen-Begriff in Familien-Kontexten verwendet,,Niño,Término de grupo etario usado en contextos familiares,,Ребенок,Термин возрастной группы используется в семейных контекстах,,A1,easy,4
28,Τηλέφωνο,ti-LÉ-fo-no,Phone,Essential communication device word,,Telefon,Notwendiges Kommunikationsgeräte-Wort,,Teléfono,Palabra de dispositivo de comunicación esencial,,Телефон,Необходимое слово устройства связи,,A1,easy,5
29,Υπολογιστής,i-po-lo-yi-STÍS,Computer,Modern technology term increasingly important,,Computer,Modernes Technologie-Wort zunehmend wichtig,,Computadora,Término de tecnología moderna cada vez más importante,,Компьютер,Термин современной технологии все более важный,,A1,medium,4
30,Αυτοκίνητο,af-to-KÍ-ni-to,Car,Transportation word essential for travel,,Auto,Transport-Wort notwendig für Reisen,,Coche,Palabra de transporte esencial para viajar,,Машина,Слово транспорта необходимое для путешествий,,A1,medium,4
31,Πόλη,pó-li,City,Urban location term used in geography,,Stadt,Städtischer Orts-Begriff in Geographie verwendet,,Ciudad,Término de ubicación urbana usado en geografía,,Город,Термин городского местоположения используется в географии,,A1,easy,5
32,Χώρα,chó-ra,Country,Nation term essential for travel planning,,Land,Nations-Begriff notwendig für Reiseplanung,,País,Término de nación esencial para planificación de viajes,,Страна,Термин нации необходимый для планирования путешествий,,A1,easy,5
33,Γλώσσα,GHLÓ-sa,Language,Communication system word for learning contexts,,Sprache,Kommunikationssystem-Wort für Lern-Kontexte,,Idioma,Palabra de sistema de comunicación para contextos de aprendizaje,,Язык,Слово системы коммуникации для контекстов обучения,,A1,medium,5
34,Μάθημα,má-thi-ma,Lesson,Educational term essential for students,,Unterricht,Bildungs-Begriff notwendig für Studenten,,Clase,Término educativo esencial para estudiantes,,Урок,Образовательный термин необходимый для студентов,,A1,medium,4
35,Βιβλίο,vi-VLÍ-o,Book,Reading material word important for education,,Buch,Lesematerial-Wort wichtig für Bildung,,Libro,Palabra de material de lectura importante para educación,,Книга,Слово материала для чтения важное для образования,,A1,easy,4
36,Μολύβι,mo-LÍ-vi,Pencil,Writing tool word used in school,,Bleistift,Schreibwerkzeug-Wort in der Schule verwendet,,Lápiz,Palabra de herramienta de escritura usada en la escuela,,Карандаш,Слово инструмента письма используется в школе,,A1,easy,3
37,Χαρτί,char-TÍ,Paper,Writing surface term essential for notes,,Papier,Schreibflächen-Begriff notwendig für Notizen,,Papel,Término de superficie de escritura esencial para notas,,Бумага,Термин поверхности письма необходимый для заметок,,A1,easy,3
38,Τράπεζα,TRÁ-pe-za,Table,Furniture word used daily in homes,,Tisch,Möbel-Wort täglich zu Hause verwendet,,Mesa,Palabra de mueble usada diariamente en hogares,,Стол,Слово мебели используется ежедневно дома,,A1,easy,4
39,Καρέκλα,ka-RÉ-kla,Chair,Seating furniture term essential for homes,,Stuhl,Sitz-Möbel-Begriff notwendig für Häuser,,Silla,Término de mueble de asiento esencial para hogares,,Стул,Термин мебели для сидения необходимый для домов,,A1,easy,4
40,Πόρτα,PÓR-ta,Door,Entry point term used in architecture,,Tür,Eingangs-Begriff in Architektur verwendet,,Puerta,Término de punto de entrada usado en arquitectura,,Дверь,Термин точки входа используется в архитектуре,,A1,easy,4
41,Παράθυρο,pa-RÁ-thi-ro,Window,Opening term important for rooms,,Fenster,Öffnungs-Begriff wichtig für Räume,,Ventana,Término de apertura importante para habitaciones,,Окно,Термин проема важный для комнат,,A1,medium,3
42,Δρόμος,DHRÓ-mos,Street,Path term used constantly in navigation,,Straße,Weg-Begriff ständig in Navigation verwendet,,Calle,Término de camino usado constantemente en navegación,,Улица,Термин пути постоянно используется в навигации,,A1,easy,5
43,Εστιατόριο,e-sti-a-TÓ-rio,Restaurant,Dining place word essential for eating out,,Restaurant,Speise-Ort-Wort notwendig zum Auswärtsessen,,Restaurante,Palabra de lugar para comer esencial para salir a comer,,Ресторан,Слово места питания необходимое для еды вне дома,,A1,easy,5
44,Φαγητό,fa-yi-TÓ,Food,General meal term used constantly,,Essen,Allgemeiner Mahlzeiten-Begriff ständig verwendet,,Comida,Término general de comida usado constantemente,,Еда,Общий термин пищи постоянно используется,,A1,easy,5
45,Ποτό,po-TÓ,Drink,Beverage term essential for ordering,,Getränk,Getränke-Begriff notwendig zum Bestellen,,Bebida,Término de bebida esencial para ordenar,,Напиток,Термин напитка необходимый для заказа,,A1,easy,5
46,Χρήματα,CHRÍ-ma-ta,Money,Currency term fundamental for transactions,,Geld,Währungs-Begriff grundlegend für Transaktionen,,Dinero,Término de moneda fundamental para transacciones,,Деньги,Термин валюты фундаментальный для транзакций,,A1,easy,5
47,Ώρα,Ó-ra,Hour,Time unit term used constantly in scheduling,,Stunde,Zeiteinheit-Begriff ständig in Planung verwendet,,Hora,Término de unidad de tiempo usado constantemente en programación,,Час,Термин единицы времени постоянно используется в расписании,,A1,easy,5
48,Ημέρα,i-MÉ-ra,Day,Time period term essential for planning,,Tag,Zeitraum-Begriff notwendig für Planung,,Día,Término de período de tiempo esencial para planificación,,День,Термин периода времени необходимый для планирования,,A1,easy,5
49,Νύχτα,NÍ-chta,Night,Time of day term used in schedules,,Nacht,Tageszeit-Begriff in Zeitplänen verwendet,,Noche,Término de momento del día usado en horarios,,Ночь,Термин времени суток используется в расписаниях,,A1,easy,4
50,Χρόνος,CHRÓ-nos,Year,Long time unit term important for age and dates,,Jahr,Lange Zeiteinheit wichtig für Alter und Daten,,Año,Término de unidad de tiempo largo importante para edad y fechas,,Год,Термин длинной единицы времени важный для возраста и дат,,A1,medium,5
