Nr.;Griechisch (Transkription);Lautschrift (Griechisch);Russische Übersetzung;Wichtigkeit (Begründung) in Russisch;Audio in russisch;Englische Übersetzung;Wichtigkeit (Begründung)in Englisch;Audio in englisch;Spanische Übersetzung;Wichtigkeit (Begründung)in Spanisch;Audio in Spanisch;Deutsche Übersetzung;Wichtigkeit (Begründung)in Deutsch;Audio in deutsch;Level;difficulty (easy/middle/hard);Häufigkeit im täglichen Gebrauch
53;ποιος;pios;кто;основное вопросительное слово;;who;core question word;;quién;palabra interrogativa básica;;wer;Grundfragewort;;A2;easy;3
54;πού;pou;где;основное вопросительное слово;;where;core question word;;dónde;palabra interrogativa básica;;wo;Grundfragewort;;A2;easy;3
55;πότε;póte;когда;основное вопросительное слово;;when;core question word;;cuándo;palabra interrogativa básica;;wann;Grundfragewort;;A2;easy;4
56;γιατί;giati;почему;основное вопросительное слово;;why;core question word;;por qué;palabra interrogativa básica;;warum;Grundfragewort;;A2;easy;4
57;πώς;pos;как;основное вопросительное слово;;how;core question word;;cómo;palabra interrogativa básica;;wie;Grundfragewort;;A2;easy;4
58;μηδέν;midén;ноль;базовое числительное;;zero;basic number;;cero;número básico;;null;Grundzahl;;A2;easy;5
59;έξι;éxi;шесть;базовое числительное;;six;basic number;;seis;número básico;;sechs;Grundzahl;;A2;easy;5
60;επτά;eptá;семь;базовое числительное;;seven;basic number;;siete;número básico;;sieben;Grundzahl;;A2;easy;5
61;Δευτέρα;Deftéra;понедельник;день недели;;Monday;day of the week;;lunes;día de la semana;;Montag;Wochentag;;A2;middle;1
62;Τρίτη;Tríti;вторник;день недели;;Tuesday;day of the week;;martes;día de la semana;;Dienstag;Wochentag;;A2;middle;1
63;Τετάρτη;Tetárti;среда;день недели;;Wednesday;day of the week;;miércoles;día de la semana;;Mittwoch;Wochentag;;A2;middle;1
64;Πέμπτη;Pémpti;четверг;день недели;;Thursday;day of the week;;jueves;día de la semana;;Donnerstag;Wochentag;;A2;middle;2
65;Παρασκευή;Paraskeví;пятница;день недели;;Friday;day of the week;;viernes;día de la semana;;Freitag;Wochentag;;A2;middle;2
66;Σάββατο;Sávvato;суббота;день недели;;Saturday;day of the week;;sábado;día de la semana;;Samstag;Wochentag;;A2;middle;2
67;Κυριακή;Kyriakí;воскресенье;день недели;;Sunday;day of the week;;domingo;día de la semana;;Sonntag;Wochentag;;A2;middle;3
68;ώρα;óra;час;важно для времени;;hour;important for time;;hora;importante para tiempo;;Stunde;wichtig für Zeit;;A2;middle;3
69;λεπτό;leptó;минута;важно для времени;;minute;important for time;;minuto;importante para tiempo;;Minute;wichtig für Zeit;;A2;middle;3
70;δευτερόλεπτο;defteólepto;секунда;важно для времени;;second;important for time;;segundo;importante para tiempo;;Sekunde;wichtig für Zeit;;A2;middle;4
71;μεσημέρι;mesiméri;полдень;важно для времени;;midday;important for time;;mediodía;importante para tiempo;;Mittag;wichtig für Zeit;;A2;middle;4
72;απόγευμα;apógevma;вечер;важно для времени;;afternoon;important for time;;tarde;importante para tiempo;;Nachmittag;wichtig für Zeit;;A2;middle;4
73;βράδυ;vrádi;вечер;важно для времени;;evening;important for time;;noche;importante para tiempo;;Abend;wichtig für Zeit;;A2;middle;5
74;γιαγιά;yayá;бабушка;важно для семьи;;grandmother;important for family;;abuela;importante para familia;;Großmutter;wichtig für Familie;;A2;middle;5
75;παππούς;papús;дедушка;важно для семьи;;grandfather;important for family;;abuelo;importante para familia;;Großvater;wichtig für Familie;;A2;middle;5
76;οκτώ;októ;восемь;базовое числительное;;eight;basic number;;ocho;número básico;;acht;Grundzahl;;A2;hard;1
77;εννιά;eniá;девять;базовое числительное;;nine;basic number;;nueve;número básico;;neun;Grundzahl;;A2;hard;1
78;δέκα;déka;десять;базовое числительное;;ten;basic number;;diez;número básico;;zehn;Grundzahl;;A2;hard;1
79;δικηγόρος;dikigóros;адвокат;важно для профессий;;lawyer;important for professions;;abogado;importante para profesiones;;Anwalt;wichtig für Berufe;;A2;hard;2
80;γιατρός;yatrós;врач;важно для профессий;;doctor;important for professions;;médico;importante para profesiones;;Arzt;wichtig für Berufe;;A2;hard;2
81;νοσοκόμος;nosokómos;медбрат;важно для профессий;;nurse (m);important for professions;;enfermero;importante para profesiones;;Krankenpfleger;wichtig für Berufe;;A2;hard;2
82;αστυνομικός;astinomikós;полицейский;важно для профессий;;police officer;important for professions;;policía;importante para profesiones;;Polizist;wichtig für Berufe;;A2;hard;3
83;ημερομηνία;imerominía;дата;важно для времени;;date;important for time;;fecha;importante para tiempo;;Datum;wichtig für Zeit;;A2;hard;3
84;αυτό;aftó;это;основное указательное слово;;this;basic demonstrative;;esto;pronombre demostrativo básico;;dies;grundlegendes Demonstrativpronomen;;A2;hard;3
85;εκείνος;ekínos;тот;основное указательное слово;;that;basic demonstrative;;eso;pronombre demostrativo básico;;das;grundlegendes Demonstrativpronomen;;A2;hard;4
86;αυτοί;aftí;эти;основное указательное слово;;these;basic demonstrative;;estos;pronombre demostrativo básico;;diese;grundlegendes Demonstrativpronomen;;A2;hard;4
87;εκείνοι;ekíni;те;основное указательное слово;;those;basic demonstrative;;esos;pronombre demostrativo básico;;jene;grundlegendes Demonstrativpronomen;;A2;hard;4
88;ποιο;pio;какой;основное вопросительное слово;;which;core question word;;cuál;palabra interrogativa básica;;welcher;Grundfragewort;;A2;hard;5
89;από;apó;от;основное предлог;;from;basic preposition;;de;preposición básica;;von;grundlegende Präposition;;A2;hard;5
90;σε;se;в;основное предлог;;in;basic preposition;;en;preposición básica;;in;grundlegende Präposition;;A2;hard;5
