type,english,greek,phonetic,example_en,example_gr,level,difficulty,audio_url
vocabulary,Door,Πόρτα,POHR-ta,Front door,Μπροστινή πόρτα,A2,easy,
vocabulary,Window,Παράθυρο,pa-RAH-thee-ro,Open window,Ανοιχτό παράθυρο,A2,easy,
vocabulary,Table,Τραπέζι,tra-PEH-zee,Dining table,Τραπεζαρία,A2,easy,
vocabulary,Chair,Καρέκλα,ka-REH-kla,Comfortable chair,Άνετη καρέκλα,A2,easy,
vocabulary,Bed,Κρεβάτι,kreh-VAH-tee,Double bed,Διπλό κρεβάτι,A2,easy,
vocabulary,Car,Αυτοκίνητο,af-to-KEE-nee-to,Fast car,Γρήγορο αυτοκίνητο,A2,easy,
vocabulary,Bus,Λεωφορείο,leh-o-fo-REE-o,City bus,Αστικό λεωφορείο,A2,easy,
vocabulary,Train,Τρένο,TREH-no,Express train,Εξπρές τρένο,A2,medium,
vocabulary,Airplane,Αεροπλάνο,ah-eh-ro-PLAH-no,Modern airplane,Μοντέρνο αεροπλάνο,A2,medium,
vocabulary,Ticket,Εισιτήριο,ee-see-TEE-ree-o,Bus ticket,Εισιτήριο λεωφορείου,A2,medium,
vocabulary,Station,Σταθμός,stath-MOHS,Train station,Σιδηροδρομικός σταθμός,A2,medium,
vocabulary,Airport,Αεροδρόμιο,ah-eh-ro-THROH-mee-o,International airport,Διεθνές αεροδρόμιο,A2,medium,
vocabulary,Street,Δρόμος,THROH-mos,Main street,Κεντρικός δρόμος,A2,easy,
vocabulary,City,Πόλη,POH-lee,Big city,Μεγάλη πόλη,A2,easy,
vocabulary,Country,Χώρα,KHOH-ra,Beautiful country,Όμορφη χώρα,A2,easy,
vocabulary,Village,Χωριό,kho-ree-OH,Small village,Μικρό χωριό,A2,medium,
vocabulary,Mountain,Βουνό,voo-NOH,High mountain,Ψηλό βουνό,A2,easy,
vocabulary,Sea,Θάλασσα,THAH-la-sa,Blue sea,Γαλάζια θάλασσα,A2,easy,
vocabulary,Beach,Παραλία,pa-ra-LEE-a,Sandy beach,Αμμώδης παραλία,A2,easy,
vocabulary,Sun,Ήλιος,EE-lee-os,Hot sun,Καυτός ήλιος,A2,easy,
vocabulary,Rain,Βροχή,vro-KHEE,Heavy rain,Δυνατή βροχή,A2,medium,
vocabulary,Snow,Χιόνι,KHEE-oh-nee,White snow,Λευκό χιόνι,A2,medium,
vocabulary,Weather,Καιρός,keh-ROHS,Good weather,Καλός καιρός,A2,easy,
vocabulary,Hot,Ζεστός,zeh-STOHS,Very hot,Πολύ ζεστός,A2,easy,
vocabulary,Cold,Κρύος,KREE-os,Very cold,Πολύ κρύος,A2,easy,
vocabulary,Big,Μεγάλος,meh-GHAH-los,Big problem,Μεγάλο πρόβλημα,A2,easy,
vocabulary,Small,Μικρός,mee-KROHS,Small detail,Μικρή λεπτομέρεια,A2,easy,
vocabulary,Good,Καλός,ka-LOHS,Good idea,Καλή ιδέα,A2,easy,
vocabulary,Bad,Κακός,ka-KOHS,Bad habit,Κακή συνήθεια,A2,easy,
vocabulary,Beautiful,Όμορφος,OH-mor-fos,Beautiful view,Όμορφη θέα,A2,easy,
vocabulary,Ugly,Άσχημος,AH-skhee-mos,Ugly building,Άσχημο κτίριο,A2,medium,
vocabulary,New,Καινούργιος,keh-NOOR-yos,New car,Καινούργιο αυτοκίνητο,A2,easy,
vocabulary,Old,Παλιός,pa-lee-OHS,Old house,Παλιό σπίτι,A2,easy,
vocabulary,Fast,Γρήγορος,GHREE-gho-ros,Fast runner,Γρήγορος δρομέας,A2,easy,
vocabulary,Slow,Αργός,ar-GHOHS,Slow internet,Αργό ίντερνετ,A2,easy,
vocabulary,Easy,Εύκολος,EHF-ko-los,Easy exercise,Εύκολη άσκηση,A2,easy,
vocabulary,Difficult,Δύσκολος,THEES-ko-los,Difficult problem,Δύσκολο πρόβλημα,A2,medium,
vocabulary,Happy,Χαρούμενος,kha-ROO-meh-nos,Happy person,Χαρούμενος άνθρωπος,A2,medium,
vocabulary,Sad,Λυπημένος,lee-pee-MEH-nos,Sad news,Λυπηρά νέα,A2,medium,
vocabulary,Tired,Κουρασμένος,koo-ras-MEH-nos,Very tired,Πολύ κουρασμένος,A2,medium,
vocabulary,Hungry,Πεινασμένος,pee-nas-MEH-nos,Very hungry,Πολύ πεινασμένος,A2,medium,
vocabulary,Thirsty,Διψασμένος,theep-sas-MEH-nos,Very thirsty,Πολύ διψασμένος,A2,medium,
vocabulary,Money,Χρήματα,KHREE-ma-ta,Enough money,Αρκετά χρήματα,A2,easy,
vocabulary,Price,Τιμή,tee-MEE,Good price,Καλή τιμή,A2,easy,
vocabulary,Expensive,Ακριβός,a-kree-VOHS,Very expensive,Πολύ ακριβό,A2,medium,
vocabulary,Cheap,Φτηνός,ftee-NOHS,Very cheap,Πολύ φτηνό,A2,medium,
vocabulary,Bank,Τράπεζα,TRAH-peh-za,National bank,Εθνική τράπεζα,A2,medium,
vocabulary,Hospital,Νοσοκομείο,no-so-ko-MEE-o,General hospital,Γενικό νοσοκομείο,A2,medium,
vocabulary,Doctor,Γιατρός,ya-TROHS,Good doctor,Καλός γιατρός,A2,easy,
vocabulary,Medicine,Φάρμακο,FAR-ma-ko,Strong medicine,Δυνατό φάρμακο,A2,medium,
vocabulary,Problem,Πρόβλημα,PROH-vlee-ma,Big problem,Μεγάλο πρόβλημα,A2,easy,
vocabulary,Solution,Λύση,LEE-see,Good solution,Καλή λύση,A2,medium,
vocabulary,Question,Ερώτηση,eh-ROH-tee-see,Important question,Σημαντική ερώτηση,A2,medium,
vocabulary,Answer,Απάντηση,a-PAN-tee-see,Correct answer,Σωστή απάντηση,A2,medium,
